iter	Passed	Remaining
948	2246	120
949	2249	118
950	2251	115
951	2252	113
952	2253	111
953	2255	108
954	2256	106
955	2258	103
956	2259	101
957	2261	99
958	2262	96
959	2266	94
960	2269	92
961	2271	89
962	2273	87
963	2275	84
964	2276	82
965	2277	80
966	2280	77
967	2281	75
968	2283	73
969	2284	70
970	2286	68
971	2287	65
972	2288	63
973	2290	61
974	2292	58
975	2294	56
976	2296	54
977	2298	51
978	2299	49
979	2300	46
980	2303	44
981	2305	42
982	2306	39
983	2307	37
984	2311	35
985	2313	32
986	2314	30
987	2315	28
988	2317	25
989	2318	23
990	2320	21
991	2321	18
992	2323	16
993	2326	14
994	2328	11
995	2329	9
996	2331	7
997	2332	4
998	2334	2
999	2335	0
